1	0.01481262035254
10	1	0.01481262035254
10º	1	0.01481262035254
14	1	0.01481262035254
18º	1	0.01481262035254
1973	1	0.01481262035254
1984	1	0.01481262035254
2	1	0.01481262035254
20	2	0.029625240705081
2000	2	0.029625240705081
23	1	0.01481262035254
25	2	0.029625240705081
256475	1	0.01481262035254
264	1	0.01481262035254
2696	1	0.01481262035254
3	2	0.029625240705081
30	1	0.01481262035254
356	1	0.01481262035254
40	1	0.01481262035254
50	1	0.01481262035254
6	1	0.01481262035254
7	1	0.01481262035254
95	1	0.01481262035254
9596	1	0.01481262035254
97	1	0.01481262035254
A	15	0.22218930528811
ADN	1	0.01481262035254
ASTECCFE	2	0.029625240705081
Aburdene	1	0.01481262035254
Academia	1	0.01481262035254
Aeficiência	1	0.01481262035254
Agora	2	0.029625240705081
Ainda	2	0.029625240705081
Alberto	1	0.01481262035254
Alentejo	1	0.01481262035254
Algum	1	0.01481262035254
Algumas	1	0.01481262035254
Aliás	1	0.01481262035254
Almeida	1	0.01481262035254
Almodóvar	1	0.01481262035254
Alvarenga	1	0.01481262035254
Anaïs	1	0.01481262035254
Angélica	1	0.01481262035254
António	2	0.029625240705081
Ao	1	0.01481262035254
Aolítica	1	0.01481262035254
Apostava	1	0.01481262035254
Aposto	4	0.059250481410161
Aquela	2	0.029625240705081
Aquicultura	1	0.01481262035254
Aquilo	1	0.01481262035254
Armínio	1	0.01481262035254
Arrondissement	1	0.01481262035254
Arthur	1	0.01481262035254
Artur	1	0.01481262035254
Artêmis	1	0.01481262035254
As	3	0.044437861057621
AtléticoMG	1	0.01481262035254
Até	1	0.01481262035254
Auxerre	1	0.01481262035254
Aves	1	0.01481262035254
Azevedo	1	0.01481262035254
Back	1	0.01481262035254
Baixo	1	0.01481262035254
Banco	3	0.044437861057621
Baptista	1	0.01481262035254
Barca	1	0.01481262035254
Barcelona92	1	0.01481262035254
Batista	2	0.029625240705081
Beakman	1	0.01481262035254
Bernardo	1	0.01481262035254
Bill	1	0.01481262035254
Bob	1	0.01481262035254
Bocage	1	0.01481262035254
Bocas	1	0.01481262035254
Bordalo	1	0.01481262035254
Bosques	1	0.01481262035254
Bowie	3	0.044437861057621
Brasil	5	0.074063101762702
Brent	1	0.01481262035254
Bryan	1	0.01481262035254
Burt	1	0.01481262035254
Búzios	1	0.01481262035254
C	1	0.01481262035254
CD	1	0.01481262035254
CDU	1	0.01481262035254
CFE	1	0.01481262035254
CRC	1	0.01481262035254
Callas	1	0.01481262035254
Calíope	1	0.01481262035254
Camões	1	0.01481262035254
Capital	1	0.01481262035254
Cardoso	1	0.01481262035254
Carlos	2	0.029625240705081
Carmem	1	0.01481262035254
Carnaval	1	0.01481262035254
Carter	1	0.01481262035254
Casa	1	0.01481262035254
Caso	1	0.01481262035254
Celso	1	0.01481262035254
Central	2	0.029625240705081
Centro	1	0.01481262035254
Chaliapine	1	0.01481262035254
Charlie	1	0.01481262035254
Chaves	1	0.01481262035254
Chegou	1	0.01481262035254
Christian	1	0.01481262035254
Chuck	1	0.01481262035254
Coimbra	1	0.01481262035254
Com	7	0.10368834246778
Começando	1	0.01481262035254
Comissão	1	0.01481262035254
Como	6	0.088875722115242
Confesso	1	0.01481262035254
Confidencial	1	0.01481262035254
Consegui	1	0.01481262035254
Constituição	1	0.01481262035254
Convalidação	1	0.01481262035254
Copacabana	2	0.029625240705081
Corinthians	2	0.029625240705081
Couto	1	0.01481262035254
Covas	2	0.029625240705081
Cruickshank	1	0.01481262035254
Cultura	1	0.01481262035254
Cultural	1	0.01481262035254
Câmara	2	0.029625240705081
D	1	0.01481262035254
DOS	1	0.01481262035254
Da	1	0.01481262035254
Dadivosa	1	0.01481262035254
Daly	1	0.01481262035254
Daqui	1	0.01481262035254
Dartmouth	1	0.01481262035254
DataSimão	1	0.01481262035254
David	1	0.01481262035254
De	5	0.074063101762702
Dean	1	0.01481262035254
DecretoLei	1	0.01481262035254
Depois	1	0.01481262035254
Deputado	1	0.01481262035254
Deputados	1	0.01481262035254
Desdobrandose	1	0.01481262035254
Detroit	1	0.01481262035254
Deus	1	0.01481262035254
Diana	2	0.029625240705081
Diferem	1	0.01481262035254
Do	1	0.01481262035254
Donos	1	0.01481262035254
Douro	1	0.01481262035254
Dr	2	0.029625240705081
Dream	1	0.01481262035254
E	26	0.38512812916605
EUA	2	0.029625240705081
Edmundo	1	0.01481262035254
Edward	1	0.01481262035254
Ele	1	0.01481262035254
Elisabete	1	0.01481262035254
Em	3	0.044437861057621
Ene	1	0.01481262035254
Entre	1	0.01481262035254
Entretanto	1	0.01481262035254
Escocês	1	0.01481262035254
Especial	2	0.029625240705081
Esperanza	1	0.01481262035254
Esta	1	0.01481262035254
Estado	1	0.01481262035254
Estados	1	0.01481262035254
Estava	2	0.029625240705081
Este	2	0.029625240705081
Estou	2	0.029625240705081
Eu	37	0.54806695304399
Eurico	1	0.01481262035254
Europa	1	0.01481262035254
Europeia	1	0.01481262035254
Europeus	1	0.01481262035254
Evaristo	1	0.01481262035254
Exposição	1	0.01481262035254
FHC	1	0.01481262035254
Fabio	1	0.01481262035254
Fantasy	1	0.01481262035254
Febvre	1	0.01481262035254
Federal	2	0.029625240705081
Fernando	5	0.074063101762702
Ferry	2	0.029625240705081
Fig	1	0.01481262035254
Filipe	1	0.01481262035254
Finanças	1	0.01481262035254
FischerDieskau	1	0.01481262035254
Fiz	1	0.01481262035254
Flamengo	1	0.01481262035254
Flying	1	0.01481262035254
Fofo	1	0.01481262035254
Foi	1	0.01481262035254
Folha	3	0.044437861057621
Foolish	1	0.01481262035254
Fortes	1	0.01481262035254
Foste	1	0.01481262035254
Fraga	2	0.029625240705081
Franco	1	0.01481262035254
França	1	0.01481262035254
Fred	1	0.01481262035254
Fritsch	1	0.01481262035254
Fui	1	0.01481262035254
Fundas	1	0.01481262035254
Fábrica	1	0.01481262035254
Fígaro	1	0.01481262035254
Galiza	1	0.01481262035254
Gama	1	0.01481262035254
Garnett	1	0.01481262035254
Gates	1	0.01481262035254
Gaultier	1	0.01481262035254
Geisel	1	0.01481262035254
Goa	1	0.01481262035254
Gomes	1	0.01481262035254
Green	1	0.01481262035254
Guarani	1	0.01481262035254
Gulliver	1	0.01481262035254
Gundula	2	0.029625240705081
Hamas	1	0.01481262035254
